,attributes,backend,created,dataSizeBytes,description,id,isMaintenance,isReadOnly,lastChangeDate,name,rowsCount,stage,tables,uri
26,[],redshift,2016-08-30T00:35:06+0200,74448896,Created by Docker Bundle,in.c-keboola-ex-google-analytics-v4-cosas-de-barcos--16,False,False,2016-12-05T11:00:40+0100,c-keboola-ex-google-analytics-v4-cosas-de-barcos--16,281,in,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-analytics-v4-cosas-de-barcos--16/tables,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-analytics-v4-cosas-de-barcos--16
27,[],redshift,2016-08-30T01:25:03+0200,52428800,Bucket created by Transformation API,out.c-storage-rs,False,False,2016-12-05T11:02:22+0100,c-storage-rs,2036,out,https://connection.keboola.com/v2/storage/buckets/out.c-storage-rs/tables,https://connection.keboola.com/v2/storage/buckets/out.c-storage-rs
28,[],redshift,2016-08-30T17:53:31+0200,115343360,salesforce extractor raw data,in.c-ex-salesforce-dominion-marine-accounts,False,False,2016-09-23T17:33:05+0200,c-ex-salesforce-dominion-marine-accounts,205351,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-salesforce-dominion-marine-accounts/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-salesforce-dominion-marine-accounts
29,[],redshift,2016-09-07T00:55:51+0200,106954752,Bucket created by RestBox,in.c-ex-callbutton,False,False,2016-10-03T14:01:22+0200,c-ex-callbutton,1263975,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-callbutton/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-callbutton
30,[],redshift,2016-09-13T14:58:52+0200,104857600,,in.c-tutorial,False,False,2016-10-19T21:28:23+0200,c-tutorial,970,in,https://connection.keboola.com/v2/storage/buckets/in.c-tutorial/tables,https://connection.keboola.com/v2/storage/buckets/in.c-tutorial
31,[],redshift,2016-09-13T15:14:17+0200,12582912,Created by Docker Bundle,in.c-keboola-ex-google-drive-user-levels-46,False,False,2016-09-13T15:14:21+0200,c-keboola-ex-google-drive-user-levels-46,28,in,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-drive-user-levels-46/tables,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-drive-user-levels-46
32,[],redshift,2016-09-13T15:43:34+0200,113246208,Bucket created by Transformation API,out.c-tutorial,False,False,2016-10-19T22:04:13+0200,c-tutorial,639,out,https://connection.keboola.com/v2/storage/buckets/out.c-tutorial/tables,https://connection.keboola.com/v2/storage/buckets/out.c-tutorial
33,[],redshift,2016-09-15T19:44:57+0200,239075328,Bucket created by Transformation API,out.c-KPIs-rs,False,False,2016-11-30T02:28:52+0100,c-KPIs-rs,593120,out,https://connection.keboola.com/v2/storage/buckets/out.c-KPIs-rs/tables,https://connection.keboola.com/v2/storage/buckets/out.c-KPIs-rs
34,[],redshift,2016-09-19T14:19:14+0200,306184192,used to hold url map for websites. URL to page name to site section to etc.,in.c-ex-urlMap-rs,False,False,2016-09-19T22:05:09+0200,c-ex-urlMap-rs,7729908,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-urlMap-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-urlMap-rs
35,[],redshift,2016-10-24T18:49:55+0200,507510784,,out.c-AdOps-rs,False,False,2016-12-05T09:39:32+0100,c-AdOps-rs,1329293,out,https://connection.keboola.com/v2/storage/buckets/out.c-AdOps-rs/tables,https://connection.keboola.com/v2/storage/buckets/out.c-AdOps-rs
36,[],redshift,2016-11-02T17:59:02+0100,44040192,Created by Docker Runner,in.c-keboola-ex-google-drive-207888084,False,False,2016-12-03T13:00:48+0100,c-keboola-ex-google-drive-207888084,272,in,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-drive-207888084/tables,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-drive-207888084
37,[],redshift,2016-11-16T01:39:52+0100,482344960,,in.c-csv-import,False,False,2016-11-22T18:08:55+0100,c-csv-import,6384945,in,https://connection.keboola.com/v2/storage/buckets/in.c-csv-import/tables,https://connection.keboola.com/v2/storage/buckets/in.c-csv-import
38,[],redshift,2016-11-30T18:12:01+0100,16777216,Bucket created by Transformation API,out.c-main-rs,False,False,2016-11-30T18:56:39+0100,c-main-rs,371,out,https://connection.keboola.com/v2/storage/buckets/out.c-main-rs/tables,https://connection.keboola.com/v2/storage/buckets/out.c-main-rs
39,[],redshift,2016-11-30T20:08:19+0100,31457280,Created by Docker Runner,in.c-keboola-ex-google-analytics-v4-218587685,False,False,2016-11-30T20:08:34+0100,c-keboola-ex-google-analytics-v4-218587685,6,in,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-analytics-v4-218587685/tables,https://connection.keboola.com/v2/storage/buckets/in.c-keboola-ex-google-analytics-v4-218587685
